u,v,key,name,highway,length,maxspeed,lanes,oneway,geometry_wkt
58056528,301037382,0,Nelson Mandela Marg,primary,31.509,,,True,"LINESTRING (77.1710004 28.5593895, 77.1712474 28.5595718)"
58056528,7612915570,0,Palam Marg,secondary,325.63700000000006,,,True,"LINESTRING (77.1710004 28.5593895, 77.1701847 28.5601111, 77.1701288 28.5601606, 77.1699951 28.5602898, 77.169926 28.5603565, 77.1697564 28.5605204, 77.1696501 28.5606231, 77.1693342 28.5609282, 77.1689618 28.5613716, 77.1689341 28.5614046, 77.1687868 28.5615732)"
60890393,6436786516,0,,residential,17.641,,,False,"LINESTRING (77.1749531 28.580619, 77.1751146 28.5806901)"
60890393,6110396131,0,,tertiary,156.01100000000002,,2,True,"LINESTRING (77.1749531 28.580619, 77.1750377 28.5805671, 77.1751091 28.5804897, 77.175349 28.5800666, 77.1754589 28.5798727, 77.1757246 28.579404)"
60890393,280740684,0,Moti Bagh Flyover,primary,621.7180000000001,60,,True,"LINESTRING (77.1749531 28.580619, 77.1751707 28.5801845, 77.1763032 28.5782501, 77.1775943 28.5760403, 77.1776456 28.5759547, 77.1778323 28.575633)"
175610054,6191555841,0,,tertiary,275.075,,,True,"LINESTRING (77.1931747 28.569235, 77.1925453 28.5691535, 77.1925276 28.5691531, 77.1919236 28.5691411, 77.1910585 28.5692287, 77.1903721 28.5692683)"
175610054,423735548,0,Bikaji Cama Place Flyover,primary,676.969,60,3,True,"LINESTRING (77.1931747 28.569235, 77.1926289 28.5692479, 77.192424 28.5692527, 77.1918182 28.5692674, 77.1911096 28.5693198, 77.1871828 28.5697231, 77.1862777 28.5698102)"
246513647,6669107781,0,"['Dhaula Kuan Flyover', 'Sardar Patel Marg']",secondary,1509.2289999999998,,2,True,"LINESTRING (77.1670798 28.5948392, 77.1674837 28.5950505, 77.1679007 28.5952683, 77.1679775 28.5953084, 77.1680517 28.5953472, 77.1683181 28.5954863, 77.1685074 28.5955861, 77.1690725 28.5958879, 77.171561 28.5971952, 77.1734944 28.5982286, 77.1753508 28.5992113, 77.1753743 28.5992237, 77.1803254 28.6018372)"
249782331,267198390,0,Middle Circle,residential,250.60299999999998,,,True,"LINESTRING (77.2217092 28.631635, 77.2218192 28.6317961, 77.2218375 28.6318251, 77.2219124 28.6319651, 77.2219756 28.6321115, 77.2219882 28.6321408, 77.2220459 28.6323216, 77.2220743 28.6324555, 77.222085 28.6325062, 77.2221005 28.6326494, 77.2221053 28.6326932, 77.2221065 28.6328501, 77.2221067 28.632881, 77.222089 28.6330682, 77.2220524 28.6332532, 77.2219973 28.6334347, 77.221924 28.6336111, 77.2218332 28.6337812)"
249782331,1869716862,0,Radial Road 7,tertiary,82.684,,2,True,"LINESTRING (77.2217092 28.631635, 77.2222428 28.6313365, 77.2224344 28.631252)"
